team_name,human_rank,human_score,machine_rank,machine_score,llm_rank,llm_score,human_machine_diff,human_llm_diff,machine_llm_diff
Team cake,1,0.91,10,0.468,1,0.8275,9,0,-9
Team MarSan_AI,2,0.89,7,0.504,9,0.68,5,7,2
mkrisnai,3,0.89,9,0.475,3,0.8025,6,0,-6
erehulka,4,0.88,2,0.543,7,0.7125,-2,3,5
SomethingAwful,5,0.86,4,0.522,4,0.79,-1,-1,0
Team_SINAI,6,0.85,15,0.413,2,0.825,9,-4,-13
Team NLPunks,7,0.84,8,0.489,10,0.68,1,3,2
Team Iron Autobots,8,0.74,16,0.345,5,0.7725,8,-3,-11
gleb.shnshn,9,0.74,11,0.462,8,0.6975,2,-1,-3
ZhongyuLuo,10,0.73,6,0.506,13,0.595,-4,3,7
backtranslation_baseline,11,0.73,5,0.506,12,0.605,-6,1,7
nikita.sushko,12,0.7,1,0.553,14,0.525,-11,2,13
VitalyProtasov,13,0.69,3,0.531,11,0.6225,-10,-2,8
mt5_baseline,14,0.68,13,0.418,15,0.4975,-1,1,2
dkenco,15,0.68,17,0.183,6,0.7525,2,-9,-11
Team nlp_enjoyers,16,0.67,14,0.418,16,0.48375,-2,0,2
delete_baseline,17,0.47,12,0.447,17,0.25875,-5,0,5
