team_name,human_english_rank,human_english_score,llm_rank,llm_score,rank_diff
Team cake,1,0.91,1,0.8275,0
Team MarSan_AI,2,0.89,10,0.68,8
mkrisnai,3,0.89,3,0.8025,0
erehulka,4,0.88,7,0.7125,3
SomethingAwful,5,0.86,4,0.79,-1
Team_SINAI,6,0.85,2,0.825,-4
Team NLPunks,7,0.84,9,0.68,2
Team Iron Autobots,8,0.74,5,0.7725,-3
gleb.shnshn,9,0.74,8,0.6975,-1
ZhongyuLuo,10,0.73,13,0.595,3
backtranslation_baseline,11,0.73,12,0.605,1
nikita.sushko,12,0.7,14,0.525,2
VitalyProtasov,13,0.69,11,0.6225,-2
mt5_baseline,14,0.68,15,0.4975,1
dkenco,15,0.68,6,0.7525,-9
delete_baseline,17,0.47,17,0.25875,0
